date,rank,type,name,pct_change,lead_stock
2026-06-27,9,gain,昨日连板_含一字,3.13,兴业科技
2026-06-27,10,gain,半导体设备,2.57,富创精密
2026-06-27,1,loss,锂,-8.28,永兴材料
2026-06-27,2,loss,通信线缆及配套,-8.08,富士达
2026-06-27,3,loss,能源金属,-7.81,寒锐钴业
2026-06-27,4,loss,期货,-6.95,永安期货
2026-06-27,5,loss,镍,-6.81,华友钴业
2026-06-27,6,loss,金融信息服务,-6.69,翠微股份
2026-06-27,7,loss,钴,-6.46,寒锐钴业
2026-06-27,8,loss,电池化学品,-6.4,信德新材
2026-06-27,9,loss,文字媒体,-6.4,掌阅科技
2026-06-27,10,loss,个护小家电,-6.34,彩虹集团
